,id,lat,lon,elev,TMAX
80,US10box_030,42.2357,-103.3072,0.0,
81,US10boyd002,42.9095,-98.8492,552.9,
82,US10boyd003,42.9141,-98.6603,513.0,
83,US10boyd005,42.9096,-98.8428,0.0,
84,US10brow001,42.5359,-99.7092,0.0,
85,US10brow003,42.636,-100.015,783.9,
86,US10brow004,42.5375,-100.1208,794.9,
87,US10brow005,42.6748,-99.7695,686.1,
88,US10brow006,42.5718,-100.0545,790.0,
89,US10brow007,42.6988,-100.0668,0.0,
90,US10brow008,42.3248,-100.061,0.0,
91,US10brow009,42.3171,-100.0112,0.0,
92,US10buff001,40.7826,-99.1023,662.0,
93,US10buff002,40.7062,-99.1142,694.9,
94,US10buff003,40.9445,-98.8465,641.0,
95,US10buff004,40.6908,-99.094,662.0,
96,US10buff005,40.8588,-98.9216,0.0,
97,US10buff006,40.9223,-99.3868,726.9,
98,US10buff007,40.9903,-98.8699,633.1,
99,US10buff008,40.9593,-98.9631,626.1,
100,US10buff010,40.9789,-99.0637,637.9,
101,US10buff011,40.7725,-98.7306,618.1,
102,US10buff012,40.7494,-98.8479,630.0,
103,US10buff013,40.6995,-99.4062,691.9,
104,US10buff015,40.8477,-99.3277,718.1,
105,US10buff017,40.7236,-99.1035,677.0,
106,US10buff018,40.665,-99.0852,0.0,
107,US10buff019,40.9728,-98.8024,627.0,
108,US10buff020,40.7407,-99.0647,0.0,
109,US10buff025,40.7412,-99.1602,694.9,
110,US10buff034,40.8144,-98.8403,0.0,
111,US10buff036,40.7853,-99.1653,0.0,
112,US10buff039,40.8153,-98.8355,0.0,
113,US10burt001,41.7267,-96.1557,307.8,
114,US10burt002,41.6965,-96.3619,388.9,
115,US10burt003,41.8593,-96.4701,388.0,
116,US10burt004,41.7859,-96.4065,417.9,
117,US10butl003,41.1229,-97.367,480.1,
118,US10butl004,41.219,-97.349,0.0,
119,US10butl005,41.185,-97.2542,484.9,
120,US10butl008,41.158,-96.9952,490.1,
121,US10butl010,41.2963,-97.3493,502.0,
122,US10butl011,41.3221,-97.3465,451.1,
123,US10butl013,41.3565,-97.2356,434.9,
124,US10butl015,41.0706,-97.3672,0.0,
125,US10butl020,41.2557,-97.1301,0.0,
126,US10cass001,40.9946,-95.8976,337.1,
127,US10cass005,40.865,-96.1171,335.9,
128,US10cass010,40.8048,-96.4467,0.0,
129,US10cass011,41.0289,-95.9874,0.0,
130,US10ceda001,42.628,-97.27,417.0,
131,US10ceda002,42.7652,-97.3027,401.1,
132,US10ceda003,42.4974,-97.4279,530.0,
133,US10ceda004,42.6983,-97.4464,437.1,
134,US10ceda005,42.8151,-97.4648,406.9,
135,US10ceda006,42.4971,-97.2691,485.9,
136,US10ceda008,42.6702,-97.1716,384.0,
137,US10ceda009,42.5654,-97.1363,474.9,
138,US10ceda010,42.7432,-97.1706,366.1,
139,US10ceda011,42.8013,-97.368,392.9,
140,US10ceda012,42.5044,-97.2076,488.0,
